Port_IDs,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Score
4030395639953224449,0,0,0.0,0,0,0.0
4030555430101054209,0,0,0.0,0,0,0.0
4030565764341697025,0,0,0.0,0,0,0.0
4030626027667524352,0,0,0.0,0,0,0.0
4030635536196756737,0,0,0.0,0,0,0.0
4030708912786799105,0,0,0.0,0,0,0.0
4031173908980084736,0,0,0.0,0,0,0.0
4031181049693676544,0,0,0.0,0,0,0.0
4031408429897920512,0,0,0.0,0,0,0.0
4031414524297538817,0,0,0.0,0,0,0.0
4031451549482615297,0,0,0.0,0,0,0.0
4031493134338259457,0,0,0.0,0,0,0.0
4031673021422897664,0,0,0.0,0,0,0.0
4032403303704824321,0,0,0.0,0,0,0.0
4033614723417828608,0,0,0.0,0,0,0.0
3999240873283311617,0,0,0.0,0,0,0.0
3998659472131949824,0,0,0.0,0,0,0.0
3998572645139652353,0,0,0.0,0,0,0.0
3910983669796782848,0,0,0.0,0,0,0.0
3914654298562589441,0,0,0.0,0,0,0.0
3919174299855478272,0,0,0.0,0,0,0.0
3919965573764932864,0,0,0.0,0,0,0.0
3923766029921022977,0,0,0.0,0,0,0.0
3925368433214965504,0,0,0.0,0,0,0.0
3926423286576838657,0,0,0.0,0,0,0.0
3930688517098515713,0,0,0.0,0,0,0.0
3931992636670880512,0,0,0.0,0,0,0.0
3932103299427844097,0,0,0.0,0,0,0.0
3935808725185052672,0,0,0.0,0,0,0.0
3936410995029308417,0,0,0.0,0,0,0.0
3937714876784951296,0,0,0.0,0,0,0.0
3939318616482048768,0,0,0.0,0,0,0.0
3939925275039085824,0,0,0.0,0,0,0.0
3941019213896463617,0,0,0.0,0,0,0.0
3911997667197443328,0,0,0.0,0,0,0.0
3910887259807777281,0,0,0.0,0,0,0.0
3996598927198996481,0,0,0.0,0,0,0.0
3907081197088384000,0,0,0.0,0,0,0.0
3768170840939476993,0,0,0.0,0,0,0.0
3784403294629753856,0,0,0.0,0,0,0.0
3786761687746711808,0,0,0.0,0,0,0.0
3788465932399412480,0,0,0.0,0,0,0.0
3818233536529843712,0,0,0.0,0,0,0.0
3819545518395756033,0,0,0.0,0,0,0.0
3826087012661391104,0,0,0.0,0,0,0.0
3858510226868015873,0,0,0.0,0,0,0.0
3865845304835489536,0,0,0.0,0,0,0.0
3878631538480067329,0,0,0.0,0,0,0.0
3879821005658659073,0,0,0.0,0,0,0.0
3880920727367689984,0,0,0.0,0,0,0.0
3886752488982104320,0,0,0.0,0,0,0.0
3887577207880438784,0,0,0.0,0,0,0.0
3891020560590657281,0,0,0.0,0,0,0.0
3942630767220672256,0,0,0.0,0,0,0.0
3943533600390906881,0,0,0.0,0,0,0.0
3944088772635000577,0,0,0.0,0,0,0.0
3944239644144231424,0,0,0.0,0,0,0.0
3977116548751698176,0,0,0.0,0,0,0.0
3977234346014419201,0,0,0.0,0,0,0.0
3978449781300392193,0,0,0.0,0,0,0.0
3981810242465907713,0,0,0.0,0,0,0.0
3983074113875692800,0,0,0.0,0,0,0.0
3986814617275053313,0,0,0.0,0,0,0.0
3987739404272887297,0,0,0.0,0,0,0.0
3988071780777702657,0,0,0.0,0,0,0.0
3988187872032603905,0,0,0.0,0,0,0.0
3988205565930333696,0,0,0.0,0,0,0.0
3991414786174551297,0,0,0.0,0,0,0.0
3993014919980212480,0,0,0.0,0,0,0.0
3993222640082269952,0,0,0.0,0,0,0.0
3994879592543698688,0,0,0.0,0,0,0.0
3995532094997544704,0,0,0.0,0,0,0.0
3977078013600312321,0,0,0.0,0,0,0.0
3976088733682659585,0,0,0.0,0,0,0.0
3975392755164484097,0,0,0.0,0,0,0.0
3953433416230728705,0,0,0.0,0,0,0.0
3944658614777849089,0,0,0.0,0,0,0.0
3946087913459823360,0,0,0.0,0,0,0.0
3949214983441029120,0,0,0.0,0,0,0.0
3949329502284748801,0,0,0.0,0,0,0.0
3951723256343550465,0,0,0.0,0,0,0.0
3952087967771302912,0,0,0.0,0,0,0.0
3953764659057081857,0,0,0.0,0,0,0.0
3975304792994095360,0,0,0.0,0,0,0.0
3956048468100538880,0,0,0.0,0,0,0.0
3956076827719377409,0,0,0.0,0,0,0.0
3957509601040585217,0,0,0.0,0,0,0.0
3960874214179953664,0,0,0.0,0,0,0.0
3962024093501274881,0,0,0.0,0,0,0.0
3966142151544441601,0,0,0.0,0,0,0.0
4041860229502600193,0,0,0.0,0,0,0.0
